Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
118,8.774543,-482.4255,55.2121,25.13686,2.820323,-0.6074314,-1.437553,0.04049894,7.189653e-06,-2.371709e-06,1.153089e-06,486.2248458967514,3.2233140333892325,21.0,-21.3125
119,8.813313,-482.4445,56.85088,25.34688,2.761507,-0.6151205,-1.396105,0.04121488,6.887384e-06,-5.646609e-06,-2.237165e-06,486.44340108871745,3.1549014741500647,22.0,-21.3125
120,8.847878,-482.2137,57.87044,25.43643,2.719226,-0.6518047,-1.342079,0.04182649,5.921329e-06,-5.822211e-06,-6.310554e-06,486.339441403459,3.1016472153130326,23.0,-21.3125
121,8.871901,-481.8627,58.43068,25.46233,2.691859,-0.7244412,-1.299333,0.04220712,4.697995e-06,-4.105526e-06,-8.971205e-06,486.0598072928694,3.075578998014429,24.0,-21.3125
122,8.886598,-481.6074,58.71507,25.46377,2.672816,-0.8033212,-1.273477,0.04242164,3.883666e-06,-2.479779e-06,-7.725158e-06,485.84107562296316,3.0677376011899127,25.0,-21.3125
123,8.891724,-481.4352,58.84141,25.44882,2.656027,-0.8554586,-1.25654,0.04250961,3.371345e-06,-1.736395e-06,-4.327846e-06,485.6848832002294,3.0602584225262675,26.0,-21.3125
124,8.887541,-481.2685,58.88064,25.39332,2.633559,-0.8793006,-1.242271,0.04252573,3.072494e-06,-1.491548e-06,-1.392514e-06,485.52149237668357,3.041716585923541,27.0,-21.3125
125,8.866203,-481.0072,58.86002,25.2393,2.595391,-0.883769,-1.230828,0.04250716,2.819727e-06,-1.193995e-06,1.62317e-06,485.2519455609945,3.0053351982476095,28.0,-21.3125
126,8.830098,-480.5782,58.73746,24.96024,2.537729,-0.8585791,-1.223518,0.04248986,2.313719e-06,-7.451955e-07,5.688047e-06,484.797389744777,2.945203362201295,29.0,-21.3125
127,8.796062,-480.0354,58.51506,24.62014,2.469298,-0.7970952,-1.21952,0.0425388,1.73229e-06,-4.099924e-07,8.373316e-06,484.2149820003334,2.867058143998311,30.0,-21.3125
128,8.769533,-479.5004,58.28183,24.29997,2.403311,-0.7279927,-1.217095,0.04264737,1.268904e-06,-2.751617e-07,7.707675e-06,483.64025251245357,2.7905550295594046,31.0,-21.3125
129,8.757512,-479.2482,58.17425,24.1521,2.372454,-0.6968808,-1.216079,0.04270531,1.044295e-06,-2.437139e-07,6.594961e-06,483.36984235749804,2.7555451304171448,32.0,-21.3125
130,3.131178,-259.7946,35.38824,-2.553729,-6.090499,-0.9622778,3.554075,0.1439318,-9.837291e-05,0.0003840577,0.0002781678,262.20618461673064,7.116994150552524,-32.0,-20.625
131,3.114521,-261.4622,32.31748,-1.127945,-6.442062,-0.9547124,3.446357,0.1418219,-0.0001149076,0.0003756303,0.0002605216,263.45431065426396,7.36810797627225,-31.0,-20.625
132,3.048379,-266.2135,23.31179,3.369134,-7.112067,-1.10368,3.284692,0.1353138,-0.0001548778,0.0003341737,0.0002184217,267.25347181872877,7.911308873363054,-30.0,-20.625
133,2.956723,-273.6161,10.54484,9.782987,-7.635981,-1.537873,3.280276,0.1276855,-0.0001813911,0.0002695525,0.0001879487,273.9939245028579,8.45183233581133,-29.0,-20.625
134,2.898427,-281.929,-2.859842,15.36862,-7.950355,-2.051039,3.431543,0.1229343,-0.0001717746,0.0002144146,0.0001919805,282.36206228523224,8.898898413084341,-28.0,-20.625
135,2.899038,-289.5728,-15.05186,18.96359,-8.081672,-2.4401,3.639187,0.1213765,-0.0001439612,0.0001747857,0.0002172714,290.58317696485403,9.192996918663304,-27.0,-20.625
136,2.972138,-296.8408,-25.2575,21.05194,-8.030321,-2.670406,3.837883,0.1227104,-0.0001152997,0.000145607,0.0002482645,298.6563008353475,9.292280101760063,-26.0,-20.625
137,3.107906,-303.5252,-33.62386,22.15707,-7.783906,-2.768692,4.010606,0.1264518,-9.069446e-05,0.0001248277,0.0002767777,306.1846611888396,9.183670752751103,-25.0,-20.625
138,3.282674,-309.1618,-40.7793,22.69286,-7.366592,-2.757603,4.160353,0.13177,-6.996655e-05,0.0001165787,0.0002972011,312.6642540852881,8.898291357596806,-24.0,-20.625
139,3.484042,-314.0358,-47.27544,22.83802,-6.848225,-2.625133,4.292227,0.1378485,-5.353248e-05,0.0001178497,0.0003043147,318.3944504327203,8.4978068663534,-23.0,-20.625
140,3.699633,-318.4688,-53.17317,22.58695,-6.308354,-2.403828,4.410026,0.1438964,-3.89665e-05,0.0001191799,0.0002925371,323.66639135318235,8.063625026225859,-22.0,-20.625
