Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
57,11.86148,-440.1686,28.14364,-9.042902,-3.084221,-0.679715,1.464831,0.01975151,-1.234507e-08,6.702937e-06,-1.985549e-06,441.1601012954268,3.4814022342480047,25.0,-22.0
58,12.44278,-439.0797,29.10213,-11.25776,-2.894721,-0.688589,1.425609,0.02323942,-1.117449e-08,9.627938e-06,-5.739949e-07,440.187067146281,3.2993825937049195,26.0,-22.0
59,13.0643,-437.0488,29.9213,-13.19915,-2.648768,-0.6885311,1.369309,0.02659318,-8.320402e-09,8.884659e-06,3.540311e-07,438.27064165404977,3.0602375938760393,27.0,-22.0
60,13.54031,-435.3317,30.41638,-14.39692,-2.489598,-0.6825784,1.332198,0.02892663,-5.359272e-09,5.689737e-06,1.59626e-06,436.6304117931787,2.904954902396001,28.0,-22.0
61,13.80362,-434.43,30.65744,-14.98917,-2.425902,-0.662677,1.318517,0.03018329,-2.900875e-09,2.992046e-06,3.580704e-06,435.76826266335934,2.8394767826523957,29.0,-22.0
62,13.91544,-434.0506,30.75278,-15.22217,-2.415657,-0.6249839,1.317477,0.03071034,-1.001791e-09,1.478263e-06,4.945661e-06,435.40483609808155,2.821657183719739,30.0,-22.0
63,13.95118,-433.9289,30.78473,-15.29234,-2.429101,-0.5832697,1.321945,0.0308763,-2.559847e-10,7.144441e-07,4.605801e-06,435.28823269077526,2.8263534446640057,31.0,-22.0
64,13.95813,-433.9055,30.79239,-15.30568,-2.439044,-0.5640208,1.324884,0.03090797,-1.069129e-10,4.711148e-07,4.013066e-06,435.2659164837336,2.8323793372754014,32.0,-22.0
65,3.573171,-330.5848,14.49877,-49.10361,-14.50201,-0.4485451,-2.347594,0.07634617,-2.663958e-06,-0.0002527069,1.059696e-05,334.5260660062008,14.697642135242987,-32.0,-21.3125
66,3.81304,-332.9409,14.36959,-50.67467,-14.20707,-0.4227638,-2.342129,0.08195452,-5.560718e-06,-0.0002758814,1.320932e-05,337.0816669431712,14.405038544486143,-31.0,-21.3125
67,4.271252,-336.1266,14.17977,-53.6415,-13.65841,-0.3819305,-2.377276,0.09268362,-1.26308e-05,-0.0003196125,1.617804e-05,340.67516438252864,13.869011349591803,-30.0,-21.3125
68,4.737083,-338.3991,13.98552,-56.39073,-13.12771,-0.3606668,-2.424366,0.1036739,-2.103227e-05,-0.000367428,1.737496e-05,343.35034597392394,13.354564795854571,-29.0,-21.3125
69,5.268975,-341.4714,13.72917,-58.96886,-12.50822,-0.352633,-2.413608,0.116007,-2.807639e-05,-0.0004235,1.927817e-05,346.7975397498496,12.743838557465839,-28.0,-21.3125
70,5.881419,-344.8571,13.51696,-61.37977,-11.76198,-0.3500465,-2.354868,0.1297152,-3.225022e-05,-0.000480902,2.155589e-05,350.53759255364395,12.000504546475796,-27.0,-21.3125
71,6.585153,-348.3897,13.35944,-63.77804,-10.89559,-0.3460794,-2.250699,0.144988,-3.377352e-05,-0.0005364775,2.389978e-05,354.4312289985819,11.131006171402717,-26.0,-21.3125
72,7.389218,-351.8586,13.23428,-66.30398,-9.916995,-0.3351971,-2.101581,0.1618582,-3.30415e-05,-0.0005872416,2.583843e-05,358.29574142727233,10.14277031315579,-25.0,-21.3125
73,8.301098,-355.0327,13.13664,-69.0607,-8.841704,-0.3170465,-1.902608,0.1802593,-3.038608e-05,-0.0006291182,2.698087e-05,361.9256410704685,9.04965001027345,-24.0,-21.3125
74,9.321492,-357.7032,13.08061,-72.05214,-7.693775,-0.2933571,-1.653636,0.1998481,-2.690146e-05,-0.0006573973,2.718025e-05,365.1221611006263,7.874944073404039,-23.0,-21.3125
75,10.43923,-359.7487,13.08017,-75.23164,-6.504938,-0.2650152,-1.353765,0.2202933,-2.38285e-05,-0.0006658654,2.637779e-05,367.76353497323316,6.6495963122057296,-22.0,-21.3125
76,11.62847,-361.1661,13.13076,-78.63488,-5.318691,-0.2356991,-1.000358,0.2411849,-2.127633e-05,-0.0006456887,2.403344e-05,369.8605318224722,5.41707893124937,-21.0,-21.3125
77,12.85952,-361.9524,13.20906,-82.39096,-4.196039,-0.2082547,-0.6070568,0.2621903,-1.86963e-05,-0.0005924226,2.066019e-05,371.44621336280335,4.244835835226061,-20.0,-21.3125
78,14.13663,-361.9589,13.29334,-86.60601,-3.193103,-0.182325,-0.2061951,0.2840606,-1.596399e-05,-0.0005158226,1.714478e-05,372.41315651529516,3.204943929852441,-19.0,-21.3125
